BOCH,Bank of Commerce Holdings (CA),Finance,http://www.nasdaq.com/symbol/boch,http://www.nasdaq.com/symbol/boch/press-releases,http://ichart.finance.yahoo.com/table.csv?s=BOCH&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=10&amp;b=3&amp;c=1999&amp;ignore=.csv
APFC,American Pacific Corporation,Basic Industries,http://www.nasdaq.com/symbol/apfc,http://www.nasdaq.com/symbol/apfc/press-releases,http://ichart.finance.yahoo.com/table.csv?s=APFC&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=8&amp;b=13&amp;c=1984&amp;ignore=.csv
PEOP,Peoples Federal Bancshare,2000,Banks,http://www.nasdaq.com/symbol/peop/press-releases,http://ichart.finance.yahoo.com/table.csv?s=PEOP&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=6&amp;b=6&amp;c=2010&amp;ignore=.csv
CLI,Mack-Cali Realty Corporation,Consumer Services,http://www.nasdaq.com/symbol/cli,http://www.nasdaq.com/symbol/cli/press-releases,http://ichart.finance.yahoo.com/table.csv?s=CLI&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=7&amp;b=25&amp;c=1994&amp;ignore=.csv
CVH,Coventry Health Car,1998,Hospital And Medical Service Plans,http://www.nasdaq.com/symbol/cvh/press-releases,http://ichart.finance.yahoo.com/table.csv?s=CVH&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=3&amp;b=17&amp;c=1991&amp;ignore=.csv
CUB,Cubic Corporation,Capital Goods,http://www.nasdaq.com/symbol/cub,http://www.nasdaq.com/symbol/cub/press-releases,http://ichart.finance.yahoo.com/table.csv?s=CUB&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=1&amp;b=21&amp;c=1989&amp;ignore=.csv
FFIV,F5 Network,1999,Computer Communications Equipment,http://www.nasdaq.com/symbol/ffiv/press-releases,http://ichart.finance.yahoo.com/table.csv?s=FFIV&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=5&amp;b=4&amp;c=1999&amp;ignore=.csv
MWA,MUELLER WATER PRODUCTS,Capital Goods,http://www.nasdaq.com/symbol/mwa,http://www.nasdaq.com/symbol/mwa/press-releases,http://ichart.finance.yahoo.com/table.csv?s=MWA&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=4&amp;b=30&amp;c=2006&amp;ignore=.csv
GRIF,Griffin Land & Nurserie,n/a,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/grif/press-releases,http://ichart.finance.yahoo.com/table.csv?s=GRIF&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=5&amp;b=18&amp;c=1997&amp;ignore=.csv
JSN,Nuveen Equity Premium Opportunity Fund,n/a,http://www.nasdaq.com/symbol/jsn,http://www.nasdaq.com/symbol/jsn/press-releases,http://ichart.finance.yahoo.com/table.csv?s=JSN&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=0&amp;b=27&amp;c=2005&amp;ignore=.csv
XLNX,Xilin,1990,Semiconductors,http://www.nasdaq.com/symbol/xlnx/press-releases,http://ichart.finance.yahoo.com/table.csv?s=XLNX&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=5&amp;b=18&amp;c=1990&amp;ignore=.csv
JHI,John Hancock Investors Trust,n/a,http://www.nasdaq.com/symbol/jhi,http://www.nasdaq.com/symbol/jhi/press-releases,http://ichart.finance.yahoo.com/table.csv?s=JHI&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=6&amp;b=1&amp;c=1985&amp;ignore=.csv
GAME,Shanda Games Limited,Miscellaneous,http://www.nasdaq.com/symbol/game,http://www.nasdaq.com/symbol/game/press-releases,http://ichart.finance.yahoo.com/table.csv?s=GAME&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=8&amp;b=25&amp;c=2009&amp;ignore=.csv
MTT,Western Asset Municipal Defined Opportunity Trust Inc,n/a,http://www.nasdaq.com/symbol/mtt,http://www.nasdaq.com/symbol/mtt/press-releases,http://ichart.finance.yahoo.com/table.csv?s=MTT&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=2&amp;b=27&amp;c=2009&amp;ignore=.csv
CINF,Cincinnati Financial Corporation,Finance,http://www.nasdaq.com/symbol/cinf,http://www.nasdaq.com/symbol/cinf/press-releases,http://ichart.finance.yahoo.com/table.csv?s=CINF&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=2&amp;b=26&amp;c=1990&amp;ignore=.csv
IRE,Governor and Company of the Bank of Ireland (The),Finance,http://www.nasdaq.com/symbol/ire,http://www.nasdaq.com/symbol/ire/press-releases,http://ichart.finance.yahoo.com/table.csv?s=IRE&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=8&amp;b=27&amp;c=1996&amp;ignore=.csv
DCE,Deutsche Bk Cap Fdg Tr X,Finance,http://www.nasdaq.com/symbol/dce,http://www.nasdaq.com/symbol/dce/press-releases,http://ichart.finance.yahoo.com/table.csv?s=DCE&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=10&amp;b=20&amp;c=2007&amp;ignore=.csv
POWI,Power Integration,1997,Semiconductors,http://www.nasdaq.com/symbol/powi/press-releases,http://ichart.finance.yahoo.com/table.csv?s=POWI&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=11&amp;b=12&amp;c=1997&amp;ignore=.csv
RICK,Rick&#39;s Cabaret Internationa,1995,Restaurants,http://www.nasdaq.com/symbol/rick/press-releases,http://ichart.finance.yahoo.com/table.csv?s=RICK&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=9&amp;b=13&amp;c=1995&amp;ignore=.csv
ZIPR,ZipRealt,2004,Real Estate,http://www.nasdaq.com/symbol/zipr/press-releases,http://ichart.finance.yahoo.com/table.csv?s=ZIPR&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=10&amp;b=10&amp;c=2004&amp;ignore=.csv
DLIA,dELIA*s Inc.,Consumer Services,http://www.nasdaq.com/symbol/dlia,http://www.nasdaq.com/symbol/dlia/press-releases,http://ichart.finance.yahoo.com/table.csv?s=DLIA&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=11&amp;b=15&amp;c=2005&amp;ignore=.csv
DAL,Delta Air Lines Inc. (New),Transportation,http://www.nasdaq.com/symbol/dal,http://www.nasdaq.com/symbol/dal/press-releases,http://ichart.finance.yahoo.com/table.csv?s=DAL&amp;d=#&amp;e=#&amp;f=#&amp;g=d&amp;a=4&amp;b=3&amp;c=2007&amp;ignore=.csv
